id,date,hb,hb_name,daily_positive,cumulative_positive,daily_positive_pcr_only,cumulative_positive_pcr_only,daily_positive_lfd_only,cumulative_positive_lfd_only,daily_positive_pcr_and_lfd,cumulative_positive_pcr_and_lfd,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,positive_tests,positive_tests_lfd_only,hospital_admissions,hospital_admissions_qf,icu_admissions,icu_admissions_qf,positive_pillar1,positive_pillar2,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,total_tests,total_pillar1,total_pillar2,total_lfd,hospital_occupancy,icu_occupancy28daysless,icu_occupancy28daysmore
75,2020-03-09,S08000029,NHS Fife,1,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,3,0,0,0,0,7,7,0,NA,NA,NA,NA
76,2020-03-09,S08000016,NHS Borders,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,15,15,0,NA,NA,NA,NA
77,2020-03-09,S08000015,NHS Ayrshire and Arran,1,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,3,0,0,0,0,24,24,0,NA,NA,NA,NA
78,2020-03-10,S92000003,Scotland,21,67,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,47,NA,9,NA,NA,:,47,0,21,67,0,0,0,0,588,588,0,NA,NA,NA,NA
79,2020-03-10,S08000030,NHS Tayside,0,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,4,0,0,NA,0,35,35,0,NA,NA,NA,NA
80,2020-03-10,S08000026,NHS Shetland,5,11,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,5,NA,NA,:,NA,:,5,0,5,11,0,0,0,0,9,9,0,NA,NA,NA,NA
81,2020-03-10,S08000024,NHS Lothian,2,12,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,6,NA,NA,:,NA,:,6,0,2,12,0,0,0,0,155,155,0,NA,NA,NA,NA
82,2020-03-10,S08000032,NHS Lanarkshire,1,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,5,NA,NA,:,NA,:,5,0,1,4,0,0,0,0,61,61,0,NA,NA,NA,NA
83,2020-03-10,S08000022,NHS Highland,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,1,0,0,0,0,20,20,0,NA,NA,NA,NA
84,2020-03-10,S08000031,NHS Greater Glasgow and Clyde,5,11,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,8,NA,NA,:,NA,:,8,0,5,11,0,0,0,0,147,147,0,NA,NA,NA,NA
85,2020-03-10,S08000020,NHS Grampian,1,8,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,9,NA,NA,:,NA,:,9,0,1,8,0,0,0,0,32,32,0,NA,NA,NA,NA
86,2020-03-10,S08000019,NHS Forth Valley,5,8,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,10,NA,NA,:,NA,:,10,0,5,8,0,0,0,0,45,45,0,NA,NA,NA,NA
