Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200310,S92000003,Female,"",Total,d,10,23,0,"",0,"",0,"",10,23,0,0,0,0
20200310,S92000003,Male,"",0 to 59,"",10,36,0,"",0,"",0,"",10,36,0,0,0,0
20200310,S92000003,Male,"",15 to 19,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200310,S92000003,Male,"",20 to 24,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200310,S92000003,Male,"",25 to 44,"",7,22,0,"",0,"",0,"",7,22,0,0,0,0
20200310,S92000003,Male,"",45 to 64,"",4,15,0,"",0,"",0,"",4,15,0,0,0,0
20200310,S92000003,Male,"",60+,"",1,8,0,"",0,"",0,"",1,8,0,0,0,0
20200310,S92000003,Male,"",65 to 74,"",0,4,0,"",0,"",0,"",0,4,0,0,,0
20200310,S92000003,Male,"",75 to 84,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200310,S92000003,Male,"",Total,d,11,44,0,"",0,"",0,"",11,44,0,0,0,0
20200310,S92000003,Total,d,0 to 59,"",19,56,0,"",0,"",0,"",19,56,0,0,0,0
20200310,S92000003,Total,d,15 to 19,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200310,S92000003,Total,d,20 to 24,"",0,3,0,"",0,"",0,"",0,3,0,0,,0
20200310,S92000003,Total,d,25 to 44,"",9,28,0,"",0,"",0,"",9,28,0,0,0,0
20200310,S92000003,Total,d,45 to 64,"",11,28,0,"",0,"",0,"",11,28,0,0,0,0
20200310,S92000003,Total,d,60+,"",2,11,0,"",0,"",0,"",2,11,0,0,0,0
20200310,S92000003,Total,d,65 to 74,"",1,6,0,"",0,"",0,"",1,6,0,0,0,0
20200310,S92000003,Total,d,75 to 84,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200310,S92000003,Total,d,Total,d,21,67,0,"",0,"",0,"",21,67,0,0,0,0
20200311,S92000003,Female,"",0 to 59,"",7,27,0,"",0,"",0,"",7,27,0,0,0,0
20200311,S92000003,Female,"",20 to 24,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200311,S92000003,Female,"",25 to 44,"",4,10,0,"",0,"",0,"",4,10,0,0,0,0
20200311,S92000003,Female,"",45 to 64,"",4,17,0,"",0,"",0,"",4,17,0,0,0,0
20200311,S92000003,Female,"",60+,"",3,6,0,"",0,"",0,"",3,6,0,0,0,0
